train_team,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,0.0,0.003,0.003,0.0016,-0.0024000000000000002,-0.001,0.0016000000000000003,0.0036,-0.0014,0.005600000000000001,0.002,0.0033999999999999994,0.004,0.0016000000000000003,0.003,0.0023999999999999994,0.002,0.0046,0.001,0.005399999999999999,0.006,0.0036000000000000003,0.002,0.004399999999999999,0.0068000000000000005,0.003,0.0066,0.004,0.0033999999999999994,0.005,0.007600000000000001
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,-0.00019999999999999966,0.002,-0.002,-0.0016000000000000003,-0.0068000000000000005,-0.0046,-0.004,0.0002000000000000001,-0.006200000000000001,0.002,-0.00039999999999999975,-0.0026,-0.00039999999999999996,-0.004,0.0,-0.0048000000000000004,0.0,0.0,-0.0024000000000000002,-0.0006000000000000001,0.0016,-0.002,-0.002,-0.0028,0.0,-0.0012000000000000001,0.0012000000000000001,-0.0008,-0.0038,-0.0006000000000000001,0.0013999999999999998
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0,0.002,-0.002,-0.002,-0.0066,-0.0066,-0.0048000000000000004,-0.002,-0.007,0.002,-0.0005999999999999998,-0.0024000000000000002,-0.0024000000000000002,-0.0048000000000000004,-0.003,-0.0066,0.0,0.0,-0.0026,-0.00039999999999999996,-0.00039999999999999996,-0.0028,-0.005,-0.0046,0.0,-0.0014,0.0012000000000000001,-0.0038,-0.0056,-0.0046,0.0004000000000000002
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,-0.0044,0.0002000000000000001,-0.002,-0.002,-0.007,-0.0054,-0.004,-0.0004000000000000002,-0.006,0.0002000000000000001,-0.0028,-0.003,-0.0014,-0.004,-0.0022,-0.0042,0.0,0.0,-0.003,-0.001,0.0006000000000000001,-0.002,-0.0024000000000000002,-0.0021999999999999997,0.0,-0.002,0.001,-0.0014,-0.0031999999999999997,-0.0006000000000000001,0.0018
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.0024,0.001,-0.002,-0.002,-0.007,-0.0058,-0.0044,-0.0007999999999999999,-0.0063999999999999994,0.001,-0.002,-0.003,-0.0018,-0.0044,-0.0022,-0.0044,0.0,0.0,-0.003,-0.001,0.00019999999999999998,-0.0024000000000000002,-0.0032,-0.0024000000000000002,0.0,-0.002,0.001,-0.0022,-0.0034000000000000002,-0.0012000000000000001,0.002
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,-0.003,0.002,0.00039999999999999975,0.0,-0.0046,-0.003,-0.0016,0.002,-0.0036,0.0026,-0.001,-0.0006000000000000001,0.001,-0.0016,0.0,-0.0016,0.002,0.0026,-0.001,0.0014,0.003,0.0004,0.0,0.0004,0.0031999999999999997,0.0,0.0036,0.001,-0.0006000000000000001,0.002,0.0046
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.004,0.001,-0.0006000000000000003,-0.001,-0.005600000000000001,-0.004,-0.0026,0.001,-0.0046,0.0016,-0.002,-0.0016,0.0,-0.0026,-0.001,-0.0026,0.001,0.0015999999999999999,-0.002,0.00039999999999999996,0.002,-0.0006000000000000001,-0.001,-0.0006000000000000001,0.002,-0.001,0.0026,0.0,-0.0016,0.001,0.0036
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,-0.0038,0.0016,0.0008000000000000004,-0.00039999999999999996,-0.0048000000000000004,-0.0038,-0.0022,0.0014,-0.0038000000000000004,0.0018,-0.002,-0.0008,-0.00019999999999999998,-0.0022,-0.0012000000000000001,-0.0018,0.002,0.0022,-0.0016,0.0012000000000000001,0.0018,-0.0002,-0.0008,0.0002,0.0024,-0.001,0.0028,-0.00019999999999999998,-0.0008,0.0008,0.0038
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.003,0.0008000000000000004,-0.002,-0.0018,-0.0068000000000000005,-0.0048000000000000004,-0.0038000000000000004,0.0,-0.006,0.0008000000000000004,-0.0018,-0.0026,-0.0006000000000000001,-0.0038000000000000004,-0.0012000000000000001,-0.004,0.0,0.0,-0.0026,-0.0006000000000000001,0.0014,-0.0018000000000000002,-0.002,-0.002,0.0,-0.0014,0.0012000000000000001,-0.0008,-0.003,0.0,0.002
SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.001,0.0016,-0.002,-0.002,-0.0066,-0.006200000000000001,-0.0044,-0.0015999999999999999,-0.0068000000000000005,0.0016,-0.001,-0.0022,-0.0018,-0.0044,-0.0028,-0.0063999999999999994,0.0,0.0,-0.0026,-0.0002000000000000001,0.00019999999999999998,-0.0024000000000000002,-0.004399999999999999,-0.004399999999999999,0.0,-0.0012000000000000001,0.0013999999999999998,-0.003,-0.005399999999999999,-0.004,0.0004000000000000002
