train_team,train_seed,eval_team,eval_seed,r_0,r_0_std,r_1,r_1_std
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.83125,0.048518684
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.35712498,0.35997006
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.384125,0.38693509
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.24375,0.37319437
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.071875,0.215625
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.31675,0.38964695
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.01,0.03
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.0335,0.073486395
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.52674997,0.35639
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.07075,0.21225
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.086500004,0.2595
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.144875,0.29288888
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.02125,0.06375
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.83575,0.042750005
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.521125,0.34284812
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.70875,0.24094151
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.29500002,0.37956718
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.268,0.34324744
MiniGrid-MultiRoom-N2-S4-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.33912498,0.3838225
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.21775,0.2851062
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.146,0.2981761
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.15274999,0.30653393
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.07525,0.22575001
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.83125,0.048518684
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.23137501,0.35394403
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.66712505,0.246198
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.24375,0.37319437
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.1595,0.31903964
MiniGrid-MultiRoom-N2-S4-v0,2,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.169625,0.3397067
MiniGrid-MultiRoom-N4-S5-v0,2,MiniGrid-MultiRoom-N2-S4-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,2,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,2,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
